topology,workload,meander_density,n_edges,max_degree,total_route_length_mm,longest_route_mm,crossings,drc_violations,drc_notes,crosstalk_proxy,workload_mismatch,min_est_qw_freq_ghz,avg_est_qw_freq_ghz,input_pitch_mm,norm_total_route_length_mm,norm_longest_route_mm,norm_crossings,norm_drc_violations,norm_crosstalk_proxy,norm_workload_mismatch,cost
ring,GHZ,0,5,2,8.5,1.7000000000000002,0,0,PASS,0.0,0.5,17.998493893008742,17.998493893008746,1.7,0.26031746031746034,0.204778156996587,0.0,0.0,0.0,0.3333333333333333,0.09944688227964678
linear,GHZ,1,4,2,5.720000000000001,1.4300000000000002,0,0,PASS,0.2,1.5,21.396810921758643,21.396810921758643,1.3,0.08380952380952383,0.11262798634812285,0.0,0.0,0.125,1.0,0.10240610271412319
ring,GHZ,2,5,2,6.6000000000000005,1.3200000000000003,0,0,PASS,0.5,0.5,23.179878498571863,23.17987849857187,1.1,0.1396825396825397,0.07508532423208195,0.0,0.0,0.3125,0.3333333333333333,0.1027409732379869
linear,GHZ,2,4,2,5.28,1.32,0,0,PASS,0.4,1.5,23.17987849857187,23.17987849857187,1.1,0.05587301587301587,0.07508532423208188,0.0,0.0,0.25,1.0,0.10993740180941546
linear,GHZ,0,4,2,6.8,1.7,0,0,PASS,0.0,1.5,17.998493893008746,17.998493893008746,1.7,0.15238095238095237,0.2047781569965869,0.0,0.0,0.0,1.0,0.11119291402567852
star,GHZ,0,4,4,5.2,1.3,0,0,PASS,1.0,0.0,23.53649201393451,23.53649201393451,1.3,0.05079365079365079,0.06825938566552897,0.0,0.0,0.625,0.0,0.11414763800855951
ring,GHZ,1,5,2,8.25,1.6500000000000001,0,0,PASS,0.25,0.5,18.54390279885749,18.543902798857495,1.5,0.24444444444444444,0.18771331058020474,0.0,0.0,0.15625,0.3333333333333333,0.11715005214258627
ring,GHZ,0,5,2,9.5,1.9,0,0,PASS,0.0,0.5,16.10391558848151,16.10391558848151,1.9,0.3238095238095238,0.2730375426621159,0.0,0.0,0.0,0.3333333333333333,0.12238420282788881
star,GHZ,1,4,4,4.840000000000001,1.2100000000000002,0,0,PASS,1.2,0.0,25.287140180260216,25.287140180260216,1.1,0.027936507936507964,0.03754266211604097,0.0,0.0,0.7499999999999999,0.0,0.12371870090470771
linear,GHZ,1,4,2,6.6000000000000005,1.6500000000000001,0,0,PASS,0.2,1.5,18.54390279885749,18.54390279885749,1.5,0.1396825396825397,0.18771331058020474,0.0,0.0,0.125,1.0,0.12484350452353865
ring,GHZ,2,5,2,7.800000000000001,1.5600000000000003,0,0,PASS,0.5,0.5,19.613743344945423,19.613743344945426,1.3,0.2158730158730159,0.15699658703071673,0.0,0.0,0.3125,0.3333333333333333,0.13026575789587735
linear,GHZ,0,4,2,7.6,1.9,0,0,PASS,0.0,1.5,16.10391558848151,16.10391558848151,1.9,0.20317460317460315,0.2730375426621159,0.0,0.0,0.0,1.0,0.13159055203423803
linear,GHZ,2,4,2,6.24,1.56,0,0,PASS,0.4,1.5,19.613743344945423,19.613743344945423,1.3,0.11682539682539683,0.15699658703071664,0.0,0.0,0.25,1.0,0.13441456741968688
star,GHZ,0,4,4,6.0,1.5,0,0,PASS,1.0,0.0,20.398293078743244,20.398293078743244,1.5,0.10158730158730157,0.13651877133105794,0.0,0.0,0.625,0.0,0.13454527601711902
