topology,pitch_mm,layout_parameter_mm,sweep_variable,drc_violations,drc_notes,total_route_length_mm,longest_route_mm,crossings,min_route_clearance_mm,is_feasible,optimization_cost_mm,cost_function
linear,1.2,1.2,chain_neighbor_pitch_mm,0,PASS,1.4000000000000004,0.3500000000000001,0.0,0.828,True,1.4000000000000004,minimize total_route_length_mm subject to drc_violations == 0
star,1.5,1.5,star_hub_to_leaf_radius_mm,0,PASS,3.3563185307179584,0.8390796326794896,0.0,0.368,True,3.3563185307179584,minimize total_route_length_mm subject to drc_violations == 0
